ID,hexaco_HH,hexaco_E,hexaco_X,hexaco_A,hexaco_C,hexaco_O,Machiavellianism,Narcissism,Psychopathy,power_harassment,gender_harassment,age,gender,area
SBZ0196,3.8,3.5,1.9,3.7,3.3,1.5,2.7,1.6,1.2,1.2,2.6,40,0,Hokuriku
SBZ0197,3.8,3.6,1.9,4,3.4,1.4,2.8,1,1.2,1.2,2.9,40,0,Hokuriku
SBZ0198,3.9,3.6,1.7,3.8,3.6,1.5,3.2,1.2,1.2,1.2,1.5,40,0,Hokuriku
SBZ0199,3.4,2.8,3.8,3.9,3.7,3.4,3.3,3.3,1.8,1,2.5,40,0,Chugoku
SBZ0200,3.1,3,2.9,3,2.8,2.9,2.7,2.8,2.9,1.4,2.8,30,0,Kanto
SBZ0201,3.1,2.6,2.9,3.2,3,2.9,3.3,2.2,2.9,1,3.9,20,0,Kinki
SBZ0202,2.9,2.9,4.1,2.8,4.5,3.1,3.6,3,1.9,1,1,30,1,Kanto
SBZ0203,2.5,3.8,1.9,2.4,2.1,2.9,2.1,1.7,2.1,1,1,30,1,Kinki
SBZ0204,4,3.3,3.1,3.2,3.9,4.3,2.8,2.6,2.8,1.2,1.3,40,1,Kinki
SBZ0205,2,4.7,3.9,2.3,3.3,4.6,4.7,3.7,3.4,1.3,1.9,30,1,Kanto
SBZ0206,3.2,3.5,2.3,3.3,3,2.7,3.2,2.1,2.7,1.1,1.8,40,0,Kanto
SBZ0207,3.2,3.7,2.2,2.1,3.7,2.1,3.9,1.8,2.2,1.3,1.8,30,1,Kinki
SBZ0208,4.1,3.5,2.5,3.2,4.5,2.7,3.9,2.7,2.1,1,1,30,1,Kinki
SBZ0209,3.3,4.1,1.9,3.3,3.5,3,3.8,1.9,2.2,1,2.5,40,1,Kinki
SBZ0210,3.4,3.9,3.9,2.4,2.1,4.1,1.7,2.6,1.9,1.2,1.3,10,0,Kanto
SBZ0211,3.2,4.3,1.1,2.3,3.6,3.9,4,1.9,2,1.2,2.3,20,1,Tokai
SBZ0212,1.6,2.9,2.6,2.1,4.3,4.4,4.7,4.8,2.4,1.2,1.5,10,1,Shinetsu
SBZ0213,2.9,3.4,2.8,4,3.6,3.5,3.3,2.7,1.6,1.2,3.7,20,0,Kanto
SBZ0214,3.4,3.1,1.4,3.1,4,4.1,4.8,2.4,2.4,1.7,1.7,20,0,Kinki
SBZ0215,3.7,3.8,2.5,1.8,4.3,3.8,4,1.9,2.8,1.1,1,20,0,Tokai
SBZ0216,3.6,1.7,2.9,3.4,4,3.9,4.4,3,1.2,1.1,1,30,0,Kanto
SBZ0217,3.1,1.4,1.3,2.4,4.8,4.7,4.3,3.7,2.6,1.3,1,40,0,Kanto
SBZ0218,3.8,4.4,2.7,1.9,3.2,3.4,3.3,1.6,2.9,1.3,1.6,50,1,Hokkaido
SBZ0219,2.1,5,1.2,1.5,1.9,3,4.8,2.1,3,1.1,2.2,30,1,Kanto
SBZ0220,3.3,3,1.9,2.2,2.1,3.7,2.2,2.2,2,1.1,1.5,20,1,Kanto
SBZ0221,3,3.3,4.8,3.8,3.3,3.7,3.2,3.2,2.7,1.2,2.5,30,1,Tokai
SBZ0222,4.2,2.6,1.8,4.1,3.6,4,3.1,2,1.7,1,1.6,30,1,Kanto
SBZ0223,2.3,3.8,2,2.8,2.2,4.3,3.6,2.6,3.2,1.1,1,20,1,Tohoku
SBZ0224,3.8,3.6,1.6,2.2,3.9,3.4,3.3,2.1,3,1.4,1.3,40,1,Kanto
SBZ0225,2.9,4.6,2.7,3,1.7,4.5,3.2,2.8,2.2,1.9,2.2,20,1,Kanto
SBZ0226,2.7,1.9,2.4,2.2,3.7,4.1,4.4,2.6,3.1,1.2,1.1,10,0,Kanto
SBZ0227,3.9,2.8,4.4,2.8,4.3,5,4.4,3.9,3.7,1.6,2.2,20,0,Kanto
SBZ0228,3.1,2.5,3.9,2.3,3.1,3.7,4,1.8,2.1,1.1,1.3,10,1,Tohoku
SBZ0229,3.7,2.5,2.1,3.7,3.8,3.7,4.8,3.1,2.4,1,1,30,0,Kanto
SBZ0230,2.7,4.7,3.2,1.8,4.5,3.7,2.8,3.3,2.9,1.4,1.3,20,1,Kanto
SBZ0231,3,4.4,1.7,1.9,3.9,3.3,4.4,3,3,1.8,1.9,20,0,Kanto
SBZ0232,3.2,3.9,3.2,3,2.6,3.3,3,2.4,2.8,1.4,2.1,40,1,Kinki
SBZ0233,2.1,3.9,2.9,2,4.2,4.4,4.1,3.3,2.3,1.4,2.2,10,1,Kanto
SBZ0234,2.5,3.6,3.1,3.5,2.9,3.4,3.8,2.8,1.6,1.1,1.7,10,1,Kinki
